id,date,participant,session,trial,wind,init_site,plat_site,init_dist,end_dist,time_trial,time_block,fuel,presses,outcome,interruptions,forced,success,score,scoret2,scoret3
145,2020-10-14 08:16:39.889546+00:00,jold_ll -- tkarch,jold_ll.1.0,28,4.29,2,0,681.28,761.46,3.6,327.2,102,5,termination,0,TRUE,-10,73.78,77.38,106.18
144,2020-10-14 08:16:35.937909+00:00,jold_ll -- tkarch,jold_ll.1.0,27,-3.99,0,2,627.97,276.77,15.4,323.3,785,12,offscreen,0,TRUE,-10,356.6,372,495.2
143,2020-10-14 08:16:20.121820+00:00,jold_ll -- tkarch,jold_ll.1.0,26,3.57,0,2,751.66,102.85,27.5,307.4,1096,31,crash,0,TRUE,-10,666.31,693.81,913.81
142,2020-10-14 08:15:51.752809+00:00,jold_ll -- tkarch,jold_ll.1.0,25,4.27,0,2,712.75,443.94,11.4,279.1,349,11,offscreen,0,TRUE,-10,270.21,281.61,372.81
141,2020-10-14 08:15:39.857147+00:00,jold_ll -- tkarch,jold_ll.1.0,24,-3.93,2,0,681.96,73.56,17.8,267.2,578,24,crash,0,TRUE,-10,616.2,634,776.4
140,2020-10-14 08:15:22.033332+00:00,jold_ll -- tkarch,jold_ll.1.0,23,4.01,0,2,751.08,107.28,11.2,249.4,426,12,crash,0,TRUE,-10,645,656.2,745.8
139,2020-10-14 08:15:10.202214+00:00,jold_ll -- tkarch,jold_ll.1.0,22,3.55,2,0,703.94,473.88,16.5,237.5,740,17,offscreen,0,TRUE,-10,236.56,253.06,385.06
138,2020-10-14 08:14:53.660552+00:00,jold_ll -- tkarch,jold_ll.1.0,21,-3.56,2,0,677.29,220.98,7.2,221,385,8,offscreen,0,TRUE,-10,453.51,460.71,518.31
137,2020-10-14 08:14:46.077535+00:00,jold_ll -- tkarch,jold_ll.1.0,20,-3.75,2,0,709.41,118.06,8.9,213.4,414,8,crash,0,TRUE,-10,590.25,599.15,670.35
136,2020-10-14 08:14:36.629021+00:00,jold_ll -- tkarch,jold_ll.1.0,19,3.85,2,0,633.7,348.97,5.2,203.9,352,6,crash,0,TRUE,-10,279.93,285.13,326.73
135,2020-10-14 08:14:30.939331+00:00,jold_ll -- tkarch,jold_ll.1.0,18,-4.47,2,0,609.21,9.31,12.6,198.3,687,9,crash,0,TRUE,-10,602.5,615.1,715.9
134,2020-10-14 08:14:18.258456+00:00,jold_ll -- tkarch,jold_ll.1.0,17,3.67,0,2,608.36,403.94,9.8,185.6,269,16,offscreen,0,TRUE,-10,204.22,214.02,292.42
